"","Treat1_1","Treat1_2","Treat1_3","Treat2_1","Treat2_2","Treat2_3","Control_1","Control_2","Control_3"
"Mrpl15",31.2575656718789,32.1808037331085,34.7090542915001,31.2821968389279,34.7797732368292,31.386517204939,33.0396006972526,30.3271126981794,36.0409425169646
"Lypla1",11.7888537987269,25.2478758437576,21.3614349994928,15.987418431976,13.4115635621372,12.2723934613814,15.3407181812601,9.90399212812359,8.80776599763572
"Tcea1",42.8321363646928,76.7640605055981,70.3616135460928,55.8244524200124,47.4373491257336,39.9110309240036,52.3347180362595,38.6052812630783,46.1307199751808
"Atp6v1h",10.3361752531949,17.4400810269276,15.9204007001076,12.8800011141533,11.4757516360179,12.5100390428557,12.6790282337676,12.051663439643,10.6800387994721
"Rb1cc1",10.8716001158204,20.1052029846312,16.9658115256741,14.932300884233,9.18281883137307,6.6357933113972,19.8400239459201,14.7624297415755,13.877716459024
"Pcmtd1",14.3035801465778,21.7945390951943,18.6665451106436,18.0732244061727,13.2569645368185,10.7329620299206,17.0368967166672,14.4607802455038,15.6262220267189
"Rrs1",159.830706611342,219.498337258144,167.327992414026,122.135735337247,131.067251277937,116.411409036775,138.96798687637,156.718013656358,150.875396896201
"Vcpip1",38.2505153453754,61.2423374109512,48.6228879976485,42.4832112059635,28.7668857010007,23.1787850394176,58.7107843965545,49.0537804836493,38.4671629964549
"Snhg6",39.4169329649526,63.7003637965712,52.4338328947297,70.9338518628897,52.1841833791785,51.9528319785197,65.8811197043533,66.0261400894358,67.2796657526
"Snord87",38.9891355059292,64.9942304206867,33.5228885755857,55.4682306177362,39.1695233704178,4.8674091118457,40.4322718371545,72.2724109610022,85.661112894557
"Cops5",27.7004474220928,47.718162318372,46.6091193642494,36.8415261843591,31.7042098094183,39.6998055684915,43.0839058740733,38.5692881943301,35.1745070650996
"Cspp1",2.85410278107405,5.28637903839876,5.19731549132132,3.51397640733393,2.27462985825039,2.04522554734551,5.48496479525931,4.2626295166958,5.76967995714332
"Arfgef1",36.7062416758802,52.2540627404845,46.6250152366366,44.481175652395,34.1519083771532,23.2259864950861,48.4650406816126,39.2492872488815,32.476287614325
"Ncoa2",8.2196111008457,8.88757979171545,8.18552303123722,7.32653275714141,6.41896479134942,4.52336646148697,10.1890453167364,9.5746994142215,5.98572311776182
"Tram1",104.117368072794,148.989471130942,149.489506652077,108.092430174866,102.813948985644,89.9398284247108,140.124428290416,112.143110989706,136.638607802343
"Lactb2",7.15469546007856,11.6482122929301,9.36455681747793,9.08734366375559,6.88140927525293,7.02038460151988,14.1516457515115,12.4943971097261,10.72850902793
"Gm5523",11.567689350706,8.5072688765292,11.2135239116929,8.87380419611727,13.4090868910226,9.3442538014771,6.73563970515922,17.1998716703032,5.46245735725263
"Terf1",11.26062919779,16.3420543956199,16.7060194062725,15.4022655370246,10.2923641485734,9.62544821136233,14.1877627310232,12.5091108933903,15.9262543264125
